workstream,owner,applies_to,step_no,step,detail
Dossiers,Christina,All events,1,Build master attendee list,"Research LinkedIn headshots, brand, job title, buyer intent for every registered operator. Updated multiple times/week — sometimes daily closer to the event."
Dossiers,Christina,All events,2,Map buyer intents to clients,"Each operator lists their top 3 tech priorities at registration. Christina matches those to relevant client solutions and only surfaces matching intents in that client's dossier — e.g. if an operator lists CRM/CDP, Bicky sees them; if they list labor scheduling (not Bicky's solution), that's omitted."
Dossiers,Christina,All events,3,Build per-client dossier in Notion,"Each client gets their own Notion page (not shared with other clients). Includes: intro, full agenda, attendee table with headshots/LinkedIn/brand/buyer intent, map layouts, team headshots, other client logos, and a section for their own account notes."
Dossiers,Christina,All events,4,Run prioritization exercise,"Ask client to nominate: 5 tier 1 targets (must meet), 5 tier 2 targets (backup), 10 current customers (advocates for seating), 20 detractors (must not sit with them). Built into the dossier as an interactive section."
Dossiers,Christina,All events,5,Publish + share Rebrandly link,"Make the Notion page public, paste into Rebrandly and rename to a clean URL (e.g. go.858partners.com/create-bicky). Share with client alongside a note about the prioritization exercise."
Dossiers,Christina,All events,6,Keep updated until event,"Update attendee list multiple times/week with new registrations, cancellations, and walk-ins. Add table/room assignments once JG finalizes them."
Seating & room assignments,JG,Luncheon / Bird circles,1,JG runs table/room assignments,"Christina hands JG: top targets, tier 2 targets, current customers, detractors per client. JG uses Claude to assign tables/rooms based on floor and table/room capacity. Rule: each client table should have 1–2 tier 1/2 targets, 1 current customer, 0 detractors. Top targets sit left and right of the client; current customer sits across."
Seating & room assignments,JG,Luncheon / Bird circles,2,Review with clients on deal strategy call,JG may walk clients through draft assignments during their deal strategy call and adjust based on feedback.
Seating & room assignments,JG,Luncheon / Bird circles,3,Christina adds to dossiers,"Once JG finalizes, Christina adds table/room assignments to each client's Notion dossier."
Seating & room assignments,JG,Luncheon / Bird circles,4,Day-of reassignment (Claude project),"At check-in, the team inputs final attendee data (no-shows, walk-ins) into the Claude seating project and re-runs assignments if needed — e.g. if a client's tier 1 targets both no-showed, they need new neighbors."
Seating & room assignments,JG,Luncheon / Bird circles,5,Build ESM trackers,"A few days before the event, Christina builds a tracker per client showing their tier 1/2 targets, whether they share a table/room, and any gaps. Sent to Nic. ESMs use this onsite to make sure every client leaves with introductions to their targets."
Photography,Fern + Christina,All events,1,Vet and sign photographer per city,Each city has a preferred photographer once vetted. Fern and Christina handle the contract (hourly quote). Pre-event call if it's their first time working with 858.
Photography,Fern + Christina,All events,2,Send photography dossier,"Sent a few days before the event. Includes: all due dates, a full shot list, run of show (where to be and when), headshots of all attendees for reference, contact info, venue maps. Same doc goes to Robin."
Photography,Fern + Christina,All events,3,Same-day photo drop,Photographer delivers 20–40 edited photos by end of event day or early next morning. Must include all table/room linking shots. Candids and venue shots are a bonus.
Photography,Fern + Christina,All events,4,Full gallery delivery,"Per contract (usually 3–7 business days). 200–1,000 photos including: speakers, entertainment, food/decor, venue, operator candids, team candids, client candids, and all table/room linking shots."
Robin — photo organization,Christina,All events,1,Brief Robin with dossier,Robin gets the same photography dossier as the photographer. His start date is keyed to when the full gallery will be available.
Robin — photo organization,Christina,All events,2,Send full gallery + final attendee list,"Once the full gallery arrives, Christina sends it to Robin along with the final attendee list. If any walk-ins weren't in the original dossier, Christina researches their headshots first."
Robin — photo organization,Christina,All events,3,Robin organizes by operator,Robin creates one folder per operator (can be 50–200+ people). He goes through every photo and assigns each one to the relevant person's folder. Some operators have many photos; some just one or none. Takes ~2–4 days.
Robin — photo organization,Christina,All events,4,Deliver to Chris + approve invoice,"Christina confirms Robin is done and sends the organized folder to Chris. Christina and Chris approve Robin's invoice, then notify Fern to process payment."
Pre-event comms,Nic,All events,1,Client kick-off email,"Sent by Nic at project kickoff. High-level overview of what to expect, key links, and early to-dos for the client."
Pre-event comms,Nic,All events,2,Top 20 target request,Nic sends the full event attendee list (Google Sheet). Clients check off 20 top targets they want 858 to invite to the activation. Chris then sends invites to those people.
Pre-event comms,Nic,All events,3,Dossier is live email,"Christina notifies clients when their dossier is ready. Includes the Rebrandly link and instructions for completing the prioritization exercise (tier 1/2 targets, current customers, detractors)."
Pre-event comms,Nic,All events,4,Program guide,Fern drafts content → JG + Marty review → Christina builds in Figma → JG + Marty final review → Christina exports PDF → JG links and sends to all attendees + clients 2–3 days before the event.
Pre-event comms,Nic,All events,5,Know Before You Go (KBYG) email,"Goes to clients only. Covers everything they need to know for the event: logistics, schedule, what to expect. Sometimes replaced by the program guide if that covers the same ground."
Table & room linking emails,Chris + JG,Luncheon / Bird circles,1,Open doc + draft copy (pre-event),"Christina opens the linking email document pre-event. JG, Marty, and Chris work on the copy. Chris stages a version with past photos and placeholder LinkedIn links so JG can see what it'll look like."
Table & room linking emails,Chris + JG,Luncheon / Bird circles,2,Finalize attendee list post-event,"After the event, Chris takes the final attendee list and organizes emails around actual table/room assignments — removing no-shows, accounting for walk-ins."
Table & room linking emails,Chris + JG,Luncheon / Bird circles,3,Organize same-day photos,"Christina receives the same-day photo drop, organizes table/room linking shots into labeled Google Drive folders, and links Chris."
Table & room linking emails,Chris + JG,Luncheon / Bird circles,4,Populate and send,"Chris inserts final photos and LinkedIn links per table/room. JG does one final review. Emails go out within 48 hours of the event — one per table for luncheons, one per room for bird circles."
Post-event recap,Christina,All events,1,Christina drafts with Claude,"Uses program guide, emails, event notes, and any other materials. Covers: what activations happened, how many people attended, any guest speakers, sponsor spotlights, and a thank-you to clients."
Post-event recap,Christina,All events,2,Nic adds reporting + feedback,"Nic layers in buyer intent reporting, satisfaction data, ESM debrief notes, and any feedback heard from operators or brand executives."
Post-event recap,Christina,All events,3,JG + Marty review,Final content edit and approval. Sometimes a 'what we can improve' section is added based on debrief feedback.
Post-event recap,Christina,All events,4,Build in Webflow,"Once the full photo gallery is available and copy is approved, Christina builds the visual recap in Webflow using the existing template. A few rounds of review with JG + Marty."
Post-event recap,Christina,All events,5,Make live + send to Chris,Christina makes the Webflow link live and sends it to Chris. The link goes into every 1:1 follow-up email.
One-on-one follow-up emails,Chris + JG,All events,1,Christina opens doc + optional template,"Christina creates the document structure, sometimes adds a Claude-drafted template as a starting point. JG and Chris own the actual copy."
One-on-one follow-up emails,Chris + JG,All events,2,JG + Chris write personalized copy,"Each email is personalized to the individual operator — references the event, includes a personal note from JG. Sent ~2 weeks post-event."
One-on-one follow-up emails,Chris + JG,All events,3,Robin's photos delivered to Chris,"Once Robin finishes organizing, Christina sends the folder to Chris. Each operator gets a photo of themselves attached to their email."
One-on-one follow-up emails,Chris + JG,All events,4,Send,"Chris confirms photos and copy are complete for every operator. Sends individually, each with their photo and the live post-event recap link."
858 House operations,Fern,858 House,1,Venue + setup coordination,"Fern handles venue contract and layout design — luxury lounge feel (think centurion lounge). Full bar, sushi, carving station, bra bar, high-end F&B throughout."
858 House operations,Fern,858 House,2,Check-in system + table reservations,Full check-in system built for 858 House. Clients can reserve tables in advance for prospect meetings. Managed by Christina onsite.
858 House operations,Fern,858 House,3,Furniture + décor,Fern orders and coordinates any furniture needed beyond what the venue provides.
858 House operations,Fern,858 House,4,Espresso cart,"Always included. Fern coordinates using beans from a client if possible — e.g. Dutch Bros, Scooters Coffee."
858 House operations,Fern,858 House,5,Extra staffing,"858 House is a large operation. Fern coordinates extra staff for check-in, room management, and general support."
Luncheon operations,Fern,Luncheon,1,Venue + F&B,"Fern handles venue contract and full catered lunch: salad, appetizer, main, dessert, drinks. Always includes espresso cart."
Luncheon operations,Fern,Luncheon,2,Speaker coordination,Usually JG and/or Mark Hatch from Informa intro the luncheon. Fern/Christina coordinate logistics.
Luncheon operations,Fern,Luncheon,3,Assigned seating,"Every seat assigned (not just tables) — see Seating & room assignments workflow. Clients get 1–2 tables with their assigned top targets, current customer, and zero detractors."
Luncheon operations,Fern,Luncheon,4,Format: lunch or working session,"Two formats used: (1) catered lunch with networking time + sponsor introductions at tables, or (2) flip to a working session with structured questions and group discussion after lunch."
Bird circles operations,Fern,Bird circles,1,Room setup,"Usually 4–6 breakout rooms. Fern handles furniture, room layout, and vendor coordination."
Bird circles operations,Fern,Bird circles,2,Moderator assignment,"Each room has a designated moderator — usually JG, Mark, or Caroline from Informa. Sometimes a client, Cody, or an outside expert (e.g. at RLC: someone from Bloomberg)."
Bird circles operations,Fern,Bird circles,3,Assigned seating,"Attendees assigned to rooms by function, company size, or topic relevance. See Seating & room assignments workflow for full rules."
Bird circles operations,Fern,Bird circles,4,Workshop format,"Regimented workshop: pre-set questions, ranking exercises, group discussion. Each table/sub-group nominates one person to share back to the room. Moderator floats between tables."
Bird circles operations,Fern,Bird circles,5,Example: RLC AI Summit format,Rank your company's AI comfortability 1–4. Introductions. Questions for group discussion. One person per sub-group shares out.
Client calls,Nic,All events,1,Prep call (Nic),"~2 weeks before the event. Clients schedule with Nic. He walks through a full prep deck covering logistics, expectations, activation format, and what to expect onsite."
Client calls,Nic,All events,2,Deal strategy call (JG),"Clients schedule with JG. He strategizes on how to approach their top targets — talking points, what to know about specific operators, overall goals for the event."
Client calls,Nic,All events,3,Debrief call (Nic),"Post-event. Nic hosts a feedback call with each client: what worked, what to improve, overall satisfaction. Notes go into the post-event recap."
Designs & signage,Fern + Christina,All events,1,Identify needs,"Fern lets Christina know what collateral is needed — badges, note cards, directional signs, table cards, etc."
Designs & signage,Fern + Christina,All events,2,Christina designs,Christina designs all assets using existing templates and brand guidelines.
Designs & signage,Fern + Christina,All events,3,Fern approves + orders,"Fern reviews designs, approves, and coordinates printing/production through the relevant vendor."
