title,workstream,task_type,activations,owner,due_amount,due_unit,due_ref,start_amount,start_unit,start_ref,recurrence,notes
Create initial project plan,Project kickoff,,All events,Fernando,2,months,before event,,,,none,Fern leads creation. Christina takes over execution ~1 month out.  [orig timing: ~2 months out]
Register on-site team for event,Project kickoff,,All events,Christina,2,months,before event,,,,none,Register all team members via Notion. Send confirmations + notify Fern.  [orig timing: ~2 months out]
Hotel bookings for on-site team,Project kickoff,,All events,Team,2,months,before event,,,,none,"Fern, Christina, or individuals book per Informa partnership terms.  [orig timing: ~2 months out]"
Client kick-off email,Project kickoff,,All events,Nic,2,months,before event,,,,none,"Overview of what to expect, key links, initial client to-dos.  [orig timing: ~2 months out]"
Create internal tracker hub,Project kickoff,,All events,Christina,2,months,before event,,,,none,[orig timing: ~2 months out]
Event internal kick-off call,Project kickoff,,All events,Fernando + Christina,2,months,before event,,,,none,"Internal team kick-off to align on project plan, ownership, and timeline.  [orig timing: ~2 months out]"
Create overall event deck,Project kickoff,,All events,Christina,2,months,before event,,,,none,"Overall event deck covering key details, agenda, and team roles.  [orig timing: ~2 months out]"
Send top 20 target request + attendee list,Client workstreams,,All events,Nic,4,weeks,before event,6,weeks,before event,none,Google Sheet with full event attendee list. Clients check off 20 top targets to invite.  [orig timing: 4–6 weeks out]
Create client external spreadsheets with attendee lists,Client workstreams,,All events,Christina,4,weeks,before event,6,weeks,before event,none,External-facing Google Sheets with attendee lists shared directly with each client.  [orig timing: 4–6 weeks out]
Send invites to nominated top targets,Client workstreams,,All events,Chris,4,weeks,before event,6,weeks,before event,none,Chris sends invites once each client returns their top 20 list.  [orig timing: 4–6 weeks out]
Collect client to-dos,Client workstreams,,All events,Christina,4,weeks,before event,6,weeks,before event,none,"Logo, company bio, attendee registrations, calls scheduled.  [orig timing: 4–6 weeks out]"
