title,workstream,task_type,activations,owner,due_amount,due_unit,due_ref,start_amount,start_unit,start_ref,recurrence,notes
Create initial project plan,Project setup & cadence,Internal,All events,Fernando,3,months,before event,,,,none,Fern leads creation; hands day-to-day execution to Christina ~1-2 months out.
Event internal kick-off call,Project setup & cadence,Internal,All events,Fernando + Christina,3,months,before event,,,,none,"Align full team on project plan, ownership, and timeline."
Fern → Christina handoff,Project setup & cadence,Internal,All events,Fernando + Christina,2,months,before event,,,,none,"After kickoff, Fern hands the plan to Christina to run day-to-day."
Register on-site team for event,Project setup & cadence,Internal,All events,Christina,1,months,before event,2,months,before event,none,Register all team members. Send confirmations + notify Fern. Dependent on receiving registration link from Informa/event organizer.
Build internal hub,Project setup & cadence,Internal,All events,Christina,2,months,before event,,,,none,Internal attendee tracking (multi-tab Google Sheet). Raw copy-paste from registration site. Distinct from Notion dossier master list.
Set up Google Script for attendee list propagation,Project setup & cadence,Internal,All events,Christina,2,months,before event,,,,none,"Set up the Google Script that auto-propagates attendee data into the internal hub. Internal hub is built first. Client EXT list IDs are added later once the EXT list is received — at that point, start the weekly update cadence."
Internal team reporting — Monday action items,Project setup & cadence,Internal,All events,Christina,0,days,on event date,2,months,before event,weekly,Monday: send team their action items for the week.
Internal team reporting — Wednesday mid-week check-in,Project setup & cadence,Internal,All events,Christina,0,days,on event date,2,months,before event,weekly,Wed/Thu: reminder for anything not yet completed that week.
Internal team reporting — Friday look-ahead,Project setup & cadence,Internal,All events,Christina,0,days,on event date,2,months,before event,weekly,Friday: preview of what's coming the following week.
Internal post-event debrief,Project setup & cadence,Internal,All events,Fernando,2,weeks,after event,,,,none,"Fern creates a slide deck covering wins, improvements, and key numbers. Full team, 1-hour meeting. Distributed within 48 business hours of the event."
Project wrap-up + template update,Project setup & cadence,Internal,All events,Fernando + Christina,2,weeks,after event,,,,none,"Close out the plan, document lessons learned, update templates for next event."
Client kick-off email,Client comms & calls,Comms,All events,Beth,2,months,before event,,,,none,"Sent after signing (Fern or Nic). Event overview + upcoming items. Asks client to add marketing materials, register, book hotels. Prompts scheduling of prep, deal strategy, and debrief calls. Includes key links. Note: Beth may fill client partner role — flag for Fern. Action items for client: register for event and book hotel. Include registration and hotel links if available."
Collect client to-dos,Client comms & calls,Client,All events,Beth,2,months,before event,,,,none,Collect client to-dos before the client kickoff call — the kickoff is where those to-dos get listed and assigned.
Send top 20 target request + EXT attendee list,Client comms & calls,Comms,All events,Beth,6,weeks,before event,,,,none,"Send the client EXT spreadsheet (initial Informa attendee list). Client marks their top 20 operators to invite to 858 activations. Note: Beth may fill client partner role — flag for Fern. When EXT list is received, update the Google Script with client EXT spreadsheet IDs and start weekly update cadence."
Create + maintain client external (EXT) spreadsheets,Client comms & calls,Client,All events,Christina,0,days,on event date,6,weeks,before event,weekly,External Google Sheets with attendee list shared with each client. Refresh weekly as Informa sends updates.
Remind clients to schedule all three meetings,Client comms & calls,Client,All events,Beth,4,weeks,before event,,,,weekly,"Optional. By 4 weeks out, three meetings should be scheduled: prep call (2 weeks before), deal strategy call (1 week before), debrief call (1 week after). Remind weekly if not yet confirmed. Timing depends on overall client communication volume."
Send dossier live email,Client comms & calls,Comms,All events,Christina + Beth,3,weeks,before event,,,,none,"Includes the Rebrandly dossier link + instructions to complete the prioritization exercise (tier 1/2, current customers, detractors)."
Connect ESM with client (intro),Client comms & calls,Client,All events,Beth,3,days,before event,,,,none,Intro each client to their ESM via email/text + contact info. ESM ensures client meets and tracks their targets onsite. Note: Beth may fill client partner role — flag for Fern.
Client prep kickoff call,Client comms & calls,Client,All events,Beth + Nic,2,weeks,before event,,,,none,"Walks through the prep deck: logistics, expectations, activation format, Q&A. Note: Beth may fill client partner role — flag for Fern."
Client deal strategy call,Client comms & calls,Client,All events,JG,1,weeks,before event,,,,none,"JG on client strategy, goals, and how to approach their tier 1/tier 2 targets. If assigned seating, reviews their table + workshop group for target coverage."
Post-event client thank you message via text or LinkedIn,Client comms & calls,Comms,All events,JG,1,days,after event,,,,none,Quick personal text or LinkedIn thank-you to the client for attending.
