phase,timing,task,owner,applies_to,status,due_date,notes
Project kickoff,~2 months out,Create initial project plan,Fern,All events,todo,,Fern leads creation. Christina takes over execution ~1 month out.
Project kickoff,~2 months out,Register on-site team for event,Christina,All events,todo,,Register all team members via Notion. Send confirmations + notify Fern.
Project kickoff,~2 months out,Hotel bookings for on-site team,Team,All events,todo,,"Fern, Christina, or individuals book per Informa partnership terms."
Project kickoff,~2 months out,Client kick-off email,Nic,All events,todo,,"Overview of what to expect, key links, initial client to-dos."
Project kickoff,~2 months out,Create internal tracker hub,Christina,All events,todo,,
Project kickoff,~2 months out,Event internal kick-off call,Fern + Christina,All events,todo,,"Internal team kick-off to align on project plan, ownership, and timeline."
Project kickoff,~2 months out,Create overall event deck,Christina,All events,todo,,"Overall event deck covering key details, agenda, and team roles."
Pre-event — client workstreams,4–6 weeks out,Send top 20 target request + attendee list,Nic,All events,todo,,Google Sheet with full event attendee list. Clients check off 20 top targets to invite.
Pre-event — client workstreams,4–6 weeks out,Create client external spreadsheets with attendee lists,Christina,All events,todo,,External-facing Google Sheets with attendee lists shared directly with each client.
Pre-event — client workstreams,4–6 weeks out,Send invites to nominated top targets,Chris,All events,todo,,Chris sends invites once each client returns their top 20 list.
Pre-event — client workstreams,4–6 weeks out,Collect client to-dos,Christina,All events,todo,,"Logo, company bio, attendee registrations, calls scheduled."
Pre-event — client workstreams,4–6 weeks out,Client prep call,Nic,All events,todo,,"~2 weeks out. Nic walks through full prep deck — logistics, expectations, event overview."
Pre-event — client workstreams,4–6 weeks out,Client deal strategy call,JG,All events,todo,,"JG strategizes with client on talking points, target approach, and event goals."
Pre-event — dossiers,3–4 weeks out,Build master attendee list,Christina,All events,todo,,"LinkedIn headshots, brand, job title, buyer intent. Updated multiple times/week."
Pre-event — dossiers,3–4 weeks out,Map buyer intents to clients,Christina,All events,todo,,Match each operator's top 3 tech priorities to relevant client solutions.
Pre-event — dossiers,3–4 weeks out,Create internal dossier,Christina,All events,todo,,Internal-facing dossier for the 858 team — separate from client dossiers.
